# library	entry_point	managed_return	abi_return
steam_api	SteamAPI_ISteamNetworkingUtils_GetRelayNetworkStatus	ESteamNetworkingAvailability	u64
steam_api	SteamAPI_ISteamNetworkingUtils_InitRelayNetworkAccess	void	void
steam_api	SteamAPI_ISteamNetworkingUtils_IsFakeIPv4	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_IterateGenericEditableConfigValues	ESteamNetworkingConfigValue	u64
steam_api	SteamAPI_ISteamNetworkingUtils_ParsePingLocationString	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_SetConfigValue	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_SetDebugOutputFunction	void	void
steam_api	SteamAPI_ISteamNetworkingUtils_SteamNetworkingIPAddr_GetFakeIPType	ESteamNetworkingFakeIPType	u64
steam_api	SteamAPI_ISteamNetworkingUtils_SteamNetworkingIPAddr_ParseString	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_SteamNetworkingIPAddr_ToString	void	void
steam_api	SteamAPI_ISteamNetworkingUtils_SteamNetworkingIdentity_ParseString	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_SteamNetworkingIdentity_ToString	void	void
steam_api	SteamAPI_ISteamNetworking_AcceptP2PSessionWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworking_AllowP2PPacketRelay	bool	u64
steam_api	SteamAPI_ISteamNetworking_CloseP2PChannelWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworking_CloseP2PSessionWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworking_CreateConnectionSocket	uint	u64
steam_api	SteamAPI_ISteamNetworking_CreateListenSocket	uint	u64
steam_api	SteamAPI_ISteamNetworking_CreateP2PConnectionSocket	uint	u64
steam_api	SteamAPI_ISteamNetworking_DestroyListenSocket	bool	u64
steam_api	SteamAPI_ISteamNetworking_DestroySocket	bool	u64
steam_api	SteamAPI_ISteamNetworking_GetListenSocketInfo	bool	u64
steam_api	SteamAPI_ISteamNetworking_GetMaxPacketSize	int	u64
steam_api	SteamAPI_ISteamNetworking_GetP2PSessionState	bool	u64
steam_api	SteamAPI_ISteamNetworking_GetSocketConnectionType	ESNetSocketConnectionType	u64
steam_api	SteamAPI_ISteamNetworking_GetSocketInfo	bool	u64
steam_api	SteamAPI_ISteamNetworking_IsDataAvailable	bool	u64
steam_api	SteamAPI_ISteamNetworking_IsDataAvailableOnSocket	bool	u64
steam_api	SteamAPI_ISteamNetworking_IsP2PPacketAvailable	bool	u64
steam_api	SteamAPI_ISteamNetworking_ReadP2PPacket	bool	u64
steam_api	SteamAPI_ISteamNetworking_RetrieveData	bool	u64
steam_api	SteamAPI_ISteamNetworking_RetrieveDataFromSocket	bool	u64
steam_api	SteamAPI_ISteamNetworking_SendDataOnSocket	bool	u64
steam_api	SteamAPI_ISteamNetworking_SendP2PPacket	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsAppBlocked	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsAppInBlockList	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsFeatureBlocked	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsFeatureInBlockList	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsParentalLockEnabled	bool	u64
steam_api	SteamAPI_ISteamParentalSettings_BIsParentalLockLocked	bool	u64
steam_api	SteamAPI_ISteamParties_CancelReservation	void	void
steam_api	SteamAPI_ISteamParties_ChangeNumOpenSlots	ulong	u64
steam_api	SteamAPI_ISteamParties_CreateBeacon	ulong	u64
steam_api	SteamAPI_ISteamParties_DestroyBeacon	bool	u64
steam_api	SteamAPI_ISteamParties_GetAvailableBeaconLocations	bool	u64
steam_api	SteamAPI_ISteamParties_GetBeaconByIndex	ulong	u64
steam_api	SteamAPI_ISteamParties_GetBeaconDetails	bool	u64
steam_api	SteamAPI_ISteamParties_GetBeaconLocationData	bool	u64
steam_api	SteamAPI_ISteamParties_GetNumActiveBeacons	uint	u64
steam_api	SteamAPI_ISteamParties_GetNumAvailableBeaconLocations	bool	u64
steam_api	SteamAPI_ISteamParties_JoinParty	ulong	u64
steam_api	SteamAPI_ISteamParties_OnReservationCompleted	void	void
steam_api	SteamAPI_ISteamRemotePlay_BGetSessionClientResolution	bool	u64
steam_api	SteamAPI_ISteamRemotePlay_BSendRemotePlayTogetherInvite	bool	u64
steam_api	SteamAPI_ISteamRemotePlay_GetSessionClientFormFactor	ESteamDeviceFormFactor	u64
steam_api	SteamAPI_ISteamRemotePlay_GetSessionClientName	IntPtr	u64
steam_api	SteamAPI_ISteamRemotePlay_GetSessionCount	uint	u64
steam_api	SteamAPI_ISteamRemotePlay_GetSessionID	uint	u64
steam_api	SteamAPI_ISteamRemotePlay_GetSessionSteamID	ulong	u64
steam_api	SteamAPI_ISteamRemoteStorage_BeginFileWriteBatch	bool	u64
steam_api	SteamAPI_ISteamRemoteStorage_CommitPublishedFileUpdate	ulong	u64
steam_api	SteamAPI_ISteamRemoteStorage_CreatePublishedFileUpdateRequest	ulong	u64
